Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR,wKAA,wKAAFactor,wAAA,wAAAFactor,kAWP,kAWPFactor,iAWP,iAWPFactor,iADRFactor,WL,WLFactor,RAR
XANTARES,447,313,637,29,82.3,1.19,1.31,0.749,0.0089,0,0,16,13,16,0.702,0.04111504424778756,0.34216657739689293,9.638053097345122,1.1495716580601147,0.0,0.0,0.0,0.0,0.352670951145286,-0.27975711790747737,-0.30563465131391904,3.5387745352883746
woxic,426,313,637,29,70.0,1.06,0.94,0.738,0.4484,0,1,16,13,16,0.669,0.00811504424778764,0.0675348152115696,-2.6619469026548757,-0.31750174891606275,0.00984892743362829,0.1727672980530972,-0.052419150442477906,0.20900427629380522,-0.0449900574221635,-0.27975711790747737,-0.30563465131391904,1.4356453358001322
Wicadia,430,313,637,29,72.9,1.05,1.12,0.697,0.0047,0,0,16,13,16,0.675,0.014115044247787645,0.11746786288162855,0.23805309734513003,0.028393607200272484,-0.0,0.0,0.0,0.0,0.002171589373429264,-0.27975711790747737,-0.30563465131391904,1.8423984081414113
Calyx,379,313,637,29,64.4,0.96,0.84,0.714,0.0026,0,0,16,13,16,0.595,-0.06588495575221243,-0.5483061060524909,-8.26194690265487,-0.9854376090027771,-0.0,0.0,-0.0,0.0,-0.2590836770893867,-0.27975711790747737,-0.30563465131391904,-0.09846204345857368
bLitz,303,227,450,20,80.1,1.06,1.1,0.711,0.0132,1,0,10,8,12,0.673,0.012115044247787643,0.10082351365827558,7.438053097345119,0.887168284454619,-0.0,0.0,0.0,0.0,0.0463449669648056,-0.5676089517078916,-0.7833003533568905,2.2510364117208095
Senzu,312,227,450,20,74.7,1.09,1.24,0.704,0.0481,0,0,10,8,12,0.693,0.03211504424778755,0.2672670058918045,2.038053097345127,0.2430872765138591,-0.0,0.0,0.0,0.0,0.053949860563923244,-0.5676089517078916,-0.6201127797408715,1.9441913632287153
Techno,303,227,450,20,75.0,1.05,1.13,0.676,0.0099,0,0,10,8,12,0.673,0.012115044247787643,0.10082351365827558,2.3380530973451243,0.27886955473278996,-0.0,0.0,0.0,0.0,0.0247086352597784,-0.5676089517078916,-0.6201127797408715,1.7842889239099724
910,291,227,450,20,63.9,1.0,0.92,0.682,0.4777,0,1,10,8,12,0.647,-0.01388495575221238,-0.11555302624531325,-8.761946902654877,-1.0450747393676632,-0.016258709734513276,0.04614525778761061,-0.06539839823008849,0.16790289232477879,-0.17342243194441134,-0.5676089517078916,-0.6201127797408715,0.16759465723890887
mzinho,272,227,450,20,68.1,0.96,0.95,0.676,0.0037,0,0,10,8,12,0.604,-0.05688495575221242,-0.47340653454740245,-4.561946902654881,-0.5441228443026275,-0.0,0.0,-0.0,0.0,-0.07050688076348344,-0.5676089517078916,-0.6201127797408715,0.2918509606456152
slaxz,373,271,549,24,69.5,1.08,1.05,0.716,0.5255,0,1,27,9,15,0.679,0.01811504424778765,0.15075656132833454,-3.1619469026548757,-0.377138879280948,-1.8601769911548327e-05,0.124909781415929,-0.0036273451327433473,0.36351328616814166,-0.0031554660856973797,-0.48613074204946993,-0.5310978356890459,1.4779678850248559
s1n ,359,271,549,24,75.4,1.1,1.1,0.734,0.0084,1,0,27,9,15,0.654,-0.006884955752212374,-0.0572978039635778,2.73805309734513,0.3265792590246988,0.0,0.0,0.0,0.0,0.017060241259858257,-0.48613074204946993,-0.6708604240282685,1.6154812722927108
Swisher,342,271,549,24,71.2,1.01,1.02,0.699,0.0088,0,0,27,9,15,0.623,-0.0378849557522124,-0.3152852169255491,-1.4619469026548728,-0.17437263604033776,-0.0,0.0,-0.0,0.0,-0.007799773583139806,-0.48613074204946993,-0.5310978356890459,0.9714445377619274
reck,334,271,549,24,67.9,0.96,0.89,0.705,0.0,0,0,27,9,15,0.608,-0.052884955752212415,-0.44011783610069655,-4.76194690265487,-0.5679776964485802,-0.0,0.0,-0.0,0.0,-0.11490543690019012,-0.48613074204946993,-0.5310978356890459,0.3459011948614874
malbsMD,511,339,683,30,81.7,1.17,1.36,0.726,0.0,0,0,27,9,11,0.748,0.0871150442477876,0.7249866095340117,9.038053097345127,1.078007101622253,0.0,0.0,0.0,0.0,0.3960498067102406,-0.5176089517078917,-0.5654877797408717,3.633555738125634
device,392,297,513,25,81.5,1.29,1.23,0.776,0.4031,1,1,8,17,8,0.764,0.10311504424778761,0.8581414033208355,8.838053097345124,1.0541522494762985,0.024171730973451315,0.24223289522123886,0.06977553982300884,0.595958201957522,0.22117691606067466,-0.15451118963486454,-0.21322544169611307,4.273970433897979
